date,ridership Milton UNION STATION PM Peak,total_train_trips Milton UNION STATION PM Peak
2022-11-15,3431,5
2022-11-16,2885,5
2022-11-17,3019,5
2022-11-18,1569,5
2022-11-21,2384,5
2022-11-22,3419,5
2022-11-23,3297,5
2022-11-24,2844,5
2022-11-25,1499,5
2022-11-28,2382,5
2022-11-29,3372,5
2022-11-30,3254,5
2022-12-01,2887,5
2022-12-02,1588,5
2022-12-05,1973,4
2022-12-06,2685,4
2022-12-07,2704,4
2022-12-08,2359,4
2022-12-09,1160,4
2022-12-12,1899,4
2022-12-13,2618,4
2022-12-14,2573,4
2022-12-15,1573,4
2022-12-16,1136,4
2022-12-19,1473,4
2022-12-20,1893,4
2022-12-21,1664,4
2022-12-22,1146,4
2022-12-23,365,4
2022-12-28,575,4
2022-12-29,592,4
2022-12-30,220,2
